Record,Library,Ref_Beats,Det_Beats,TP,FP,FN,Sensitivity,PPV,F1_Score
100,WFDB,123,122,122,0,1,0.9919,1.0,0.9959
100,BioSPPy,123,123,123,0,0,1.0,1.0,1.0
100,NeuroKit2,123,123,122,1,1,0.9919,0.9919,0.9919
100,physioKIT,123,124,123,1,0,1.0,0.9919,0.996
100,SciPy,123,123,123,0,0,1.0,1.0,1.0
101,WFDB,117,116,116,0,1,0.9915,1.0,0.9957
101,BioSPPy,117,116,116,0,1,0.9915,1.0,0.9957
101,NeuroKit2,117,116,116,0,1,0.9915,1.0,0.9957
101,physioKIT,117,117,117,0,0,1.0,1.0,1.0
101,SciPy,117,115,115,0,2,0.9829,1.0,0.9914
102,WFDB,122,122,122,0,0,1.0,1.0,1.0
102,BioSPPy,122,122,122,0,0,1.0,1.0,1.0
102,NeuroKit2,122,122,122,0,0,1.0,1.0,1.0
102,physioKIT,122,122,122,0,0,1.0,1.0,1.0
102,SciPy,122,111,111,0,11,0.9098,1.0,0.9528
103,WFDB,117,117,117,0,0,1.0,1.0,1.0
103,BioSPPy,117,117,117,0,0,1.0,1.0,1.0
103,NeuroKit2,117,117,117,0,0,1.0,1.0,1.0
103,physioKIT,117,118,117,1,0,1.0,0.9915,0.9957
103,SciPy,117,117,117,0,0,1.0,1.0,1.0
105,WFDB,138,138,138,0,0,1.0,1.0,1.0
105,BioSPPy,138,138,138,0,0,1.0,1.0,1.0
105,NeuroKit2,138,138,138,0,0,1.0,1.0,1.0
105,physioKIT,138,138,138,0,0,1.0,1.0,1.0
105,SciPy,138,138,138,0,0,1.0,1.0,1.0
106,WFDB,113,114,113,1,0,1.0,0.9912,0.9956
106,BioSPPy,113,110,110,0,3,0.9735,1.0,0.9865
106,NeuroKit2,113,113,113,0,0,1.0,1.0,1.0
106,physioKIT,113,114,113,1,0,1.0,0.9912,0.9956
106,SciPy,113,92,92,0,21,0.8142,1.0,0.8976
119,WFDB,108,109,108,1,0,1.0,0.9908,0.9954
119,BioSPPy,108,108,108,0,0,1.0,1.0,1.0
119,NeuroKit2,108,109,108,1,0,1.0,0.9908,0.9954
119,physioKIT,108,110,108,2,0,1.0,0.9818,0.9908
119,SciPy,108,108,108,0,0,1.0,1.0,1.0
200,WFDB,142,143,142,1,0,1.0,0.993,0.9965
200,BioSPPy,142,141,141,0,1,0.993,1.0,0.9965
200,NeuroKit2,142,143,142,1,0,1.0,0.993,0.9965
200,physioKIT,142,144,142,2,0,1.0,0.9861,0.993
200,SciPy,142,128,128,0,14,0.9014,1.0,0.9481
201,WFDB,150,150,150,0,0,1.0,1.0,1.0
201,BioSPPy,150,148,148,0,2,0.9867,1.0,0.9933
201,NeuroKit2,150,150,150,0,0,1.0,1.0,1.0
201,physioKIT,150,150,150,0,0,1.0,1.0,1.0
201,SciPy,150,146,146,0,4,0.9733,1.0,0.9865
203,WFDB,173,173,172,1,1,0.9942,0.9942,0.9942
203,BioSPPy,173,165,164,1,9,0.948,0.9939,0.9704
203,NeuroKit2,173,154,154,0,19,0.8902,1.0,0.9419
203,physioKIT,173,156,155,1,18,0.896,0.9936,0.9422
203,SciPy,173,118,118,0,55,0.6821,1.0,0.811
