synthetic_id,phase,source_record_id,source_seizure_id,generation_status,calibration_status,is_continuous,max_sample_step_diff,mean_sample_step_diff,signal_std,detected_peaks,missing_inputs,limitations
syn_sz01_sz01_sz1_Interictal_Baseline,Interictal_Baseline,sz01,sz01_sz1,SUCCESS,CALIBRATED,True,0.2141,0.01872,0.1819,72,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz01_sz01_sz1_Preictal_Prediction,Preictal_Prediction,sz01,sz01_sz1,SUCCESS,CALIBRATED,True,0.28049,0.02664,0.2132,80,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz01_sz01_sz1_Ictal_Seizure,Ictal_Seizure,sz01,sz01_sz1,SUCCESS,CALIBRATED,True,0.32148,0.03596,0.2119,119,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz01_sz01_sz1_Postictal_Recovery,Postictal_Recovery,sz01,sz01_sz1,SUCCESS,CALIBRATED,True,0.26179,0.02537,0.2015,87,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz1_Interictal_Baseline,Interictal_Baseline,sz02,sz02_sz1,SUCCESS,CALIBRATED,True,0.26599,0.02158,0.2139,61,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz1_Preictal_Prediction,Preictal_Prediction,sz02,sz02_sz1,SUCCESS,CALIBRATED,True,0.23231,0.01891,0.1821,69,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz1_Ictal_Seizure,Ictal_Seizure,sz02,sz02_sz1,SUCCESS,CALIBRATED,True,0.26895,0.0273,0.2132,89,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz1_Postictal_Recovery,Postictal_Recovery,sz02,sz02_sz1,SUCCESS,CALIBRATED,True,0.27277,0.0269,0.2048,88,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz2_Interictal_Baseline,Interictal_Baseline,sz02,sz02_sz2,SUCCESS,CALIBRATED,True,0.23986,0.01955,0.2016,62,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz2_Preictal_Prediction,Preictal_Prediction,sz02,sz02_sz2,SUCCESS,CALIBRATED,True,0.21561,0.01833,0.1927,71,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz2_Ictal_Seizure,Ictal_Seizure,sz02,sz02_sz2,SUCCESS,CALIBRATED,True,0.27166,0.0278,0.2062,91,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz02_sz02_sz2_Postictal_Recovery,Postictal_Recovery,sz02,sz02_sz2,SUCCESS,CALIBRATED,True,0.30035,0.02915,0.2149,88,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz1_Interictal_Baseline,Interictal_Baseline,sz03,sz03_sz1,SUCCESS,CALIBRATED,True,0.27292,0.02262,0.2121,69,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz1_Preictal_Prediction,Preictal_Prediction,sz03,sz03_sz1,SUCCESS,CALIBRATED,True,0.2459,0.0204,0.1984,67,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz1_Ictal_Seizure,Ictal_Seizure,sz03,sz03_sz1,SUCCESS,CALIBRATED,True,0.25694,0.02789,0.1984,96,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz1_Postictal_Recovery,Postictal_Recovery,sz03,sz03_sz1,SUCCESS,CALIBRATED,True,0.31183,0.03139,0.2195,103,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz2_Interictal_Baseline,Interictal_Baseline,sz03,sz03_sz2,SUCCESS,CALIBRATED,True,0.2697,0.02343,0.2159,67,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz2_Preictal_Prediction,Preictal_Prediction,sz03,sz03_sz2,SUCCESS,CALIBRATED,True,0.29138,0.02545,0.2239,68,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz2_Ictal_Seizure,Ictal_Seizure,sz03,sz03_sz2,SUCCESS,CALIBRATED,True,0.32842,0.04156,0.2238,127,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz03_sz03_sz2_Postictal_Recovery,Postictal_Recovery,sz03,sz03_sz2,SUCCESS,CALIBRATED,True,0.333,0.03708,0.227,113,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz04_sz04_sz1_Interictal_Baseline,Interictal_Baseline,sz04,sz04_sz1,SUCCESS,CALIBRATED,True,0.24791,0.02133,0.2099,61,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz04_sz04_sz1_Preictal_Prediction,Preictal_Prediction,sz04,sz04_sz1,SUCCESS,CALIBRATED,True,0.24992,0.02022,0.1955,64,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz04_sz04_sz1_Ictal_Seizure,Ictal_Seizure,sz04,sz04_sz1,SUCCESS,CALIBRATED,True,0.29219,0.03319,0.2228,108,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz04_sz04_sz1_Postictal_Recovery,Postictal_Recovery,sz04,sz04_sz1,SUCCESS,CALIBRATED,True,0.29967,0.02887,0.2227,86,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz05_sz05_sz1_Interictal_Baseline,Interictal_Baseline,sz05,sz05_sz1,SUCCESS,CALIBRATED,True,0.2686,0.02676,0.1972,91,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz05_sz05_sz1_Preictal_Prediction,Preictal_Prediction,sz05,sz05_sz1,SUCCESS,CALIBRATED,True,0.31697,0.03091,0.2239,93,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz05_sz05_sz1_Ictal_Seizure,Ictal_Seizure,sz05,sz05_sz1,SUCCESS,CALIBRATED,True,0.34143,0.03919,0.2282,122,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz05_sz05_sz1_Postictal_Recovery,Postictal_Recovery,sz05,sz05_sz1,SUCCESS,CALIBRATED,True,0.34096,0.03928,0.2324,120,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz1_Interictal_Baseline,Interictal_Baseline,sz06,sz06_sz1,SUCCESS,CALIBRATED,True,0.25993,0.02448,0.2104,73,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz1_Preictal_Prediction,Preictal_Prediction,sz06,sz06_sz1,SUCCESS,CALIBRATED,True,0.2655,0.0242,0.2153,70,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz1_Ictal_Seizure,Ictal_Seizure,sz06,sz06_sz1,SUCCESS,CALIBRATED,True,0.23701,0.02284,0.1954,81,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz1_Postictal_Recovery,Postictal_Recovery,sz06,sz06_sz1,SUCCESS,CALIBRATED,True,0.26318,0.02257,0.2103,69,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz2_Interictal_Baseline,Interictal_Baseline,sz06,sz06_sz2,SUCCESS,CALIBRATED,True,0.26794,0.02436,0.2128,70,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz2_Preictal_Prediction,Preictal_Prediction,sz06,sz06_sz2,SUCCESS,CALIBRATED,True,0.25283,0.02276,0.2042,71,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz2_Ictal_Seizure,Ictal_Seizure,sz06,sz06_sz2,SUCCESS,CALIBRATED,True,0.27376,0.02471,0.2195,70,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz06_sz06_sz2_Postictal_Recovery,Postictal_Recovery,sz06,sz06_sz2,SUCCESS,CALIBRATED,True,0.27396,0.02346,0.2072,69,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz07_sz07_sz1_Interictal_Baseline,Interictal_Baseline,sz07,sz07_sz1,SUCCESS,CALIBRATED,True,0.28531,0.02727,0.2204,76,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz07_sz07_sz1_Preictal_Prediction,Preictal_Prediction,sz07,sz07_sz1,SUCCESS,CALIBRATED,True,0.25186,0.02229,0.187,74,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz07_sz07_sz1_Ictal_Seizure,Ictal_Seizure,sz07,sz07_sz1,SUCCESS,CALIBRATED,True,0.37275,0.04506,0.2191,144,None,Morphology evaluated post-hoc against Exp 08 targets
syn_sz07_sz07_sz1_Postictal_Recovery,Postictal_Recovery,sz07,sz07_sz1,SUCCESS,CALIBRATED,True,0.26312,0.0251,0.2003,88,None,Morphology evaluated post-hoc against Exp 08 targets
syn_203_none_Hard_Negative_Arrhythmia,Hard_Negative_Arrhythmia,203,none,SUCCESS,CALIBRATED,True,0.31627,0.03641,0.2255,115,None,Morphology evaluated post-hoc against Exp 08 targets
